"","text","user_id","screen_name","description","created_at"
"132","Everything operating normally.","785764172","githubstatus","",2018-06-11 16:50:02
"133","We're experiencing a small increase in exception rate and are investigating.","785764172","githubstatus","",2018-06-11 16:40:46
"134","We're currently investigating increased error rates on ","785764172","githubstatus","",2018-06-11 16:12:06
"135","Everything operating normally.","785764172","githubstatus","",2018-06-06 10:52:17
"136","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-06-06 10:47:23
"137","Everything operating normally.","785764172","githubstatus","",2018-05-29 18:55:49
"138","Users may experience delay in timeline updates and searches.","785764172","githubstatus","",2018-05-29 17:20:27
"139","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-05-29 16:27:35
"140","Everything operating normally.","785764172","githubstatus","",2018-05-25 17:44:29
"141","We're investigating reports of issues loading GitHub Pages sites.","785764172","githubstatus","",2018-05-25 17:27:35
"142","Everything operating normally.","785764172","githubstatus","",2018-05-23 03:29:05
"143","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-05-23 02:41:35
"144","Everything operating normally.","785764172","githubstatus","",2018-04-27 17:35:13
"145","Notification delivery times are back to normal. Updates to user timelines are currently delayed.","785764172","githubstatus","",2018-04-27 16:50:28
"146","We are currently investigating a delay in notification delivery.","785764172","githubstatus","",2018-04-27 16:23:56
"147","Everything operating normally.","785764172","githubstatus","",2018-04-23 17:34:05
"148","We've identified the cause of the dashboard timeouts and a fix is being rolled out.","785764172","githubstatus","",2018-04-23 17:20:25
"149","We're experiencing elevated error rates for user dashboards and are investigating.","785764172","githubstatus","",2018-04-23 17:02:12
"150","Everything operating normally.","785764172","githubstatus","",2018-03-23 19:20:40
"151","We're aware of a regression in certain REST APIv3 Endpoints that have caused inco... See more at ","785764172","githubstatus","",2018-03-23 19:02:28
"152","Everything operating normally.","785764172","githubstatus","",2018-03-12 17:31:47
"153","We're investigating delays and increased error rates for GitHub Pages builds.","785764172","githubstatus","",2018-03-12 17:11:40
"154","Everything operating normally.","785764172","githubstatus","",2018-03-08 03:53:40
"155","We are continuing to monitor timeline delays.","785764172","githubstatus","",2018-03-08 01:28:39
"156","We are continuing to monitor the recovery of timeline delays.","785764172","githubstatus","",2018-03-08 00:45:26
"157","We are investigating page timeouts and delays to user timeline updates.","785764172","githubstatus","",2018-03-08 00:08:24
"158","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-03-07 23:38:28
"159","Everything operating normally.","785764172","githubstatus","",2018-03-07 15:36:21
"160","We are investigating delays in email delivery.","785764172","githubstatus","",2018-03-07 14:35:36
"161","All is well.","785764172","githubstatus","",2018-03-02 19:05:49
"162","Repo dependency discovery and Pulse are currently degraded.","785764172","githubstatus","",2018-03-02 17:41:09
"163","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-03-02 16:22:46
"164","Everything operating normally.","785764172","githubstatus","",2018-03-02 16:02:50
"165","We're experiencing elevated error rates for some GitHub functionality and are investigating.","785764172","githubstatus","",2018-03-02 15:19:52
"166","Everything operating normally.","785764172","githubstatus","",2018-02-28 18:42:41
"167","We've identified the source of connectivity issues to ","785764172","githubstatus","",2018-02-28 18:02:49
"168","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-02-28 17:36:26
"169","We've turned off TLS v1.0 and v1.1 for the next hour as we move toward permanently disabling them. Check out ","785764172","githubstatus","",2018-02-08 19:00:13
"170","Everything operating normally.","785764172","githubstatus","",2018-02-02 19:17:37
"171","Email delivery is running behind, you may see delays in receiving notifications.","785764172","githubstatus","",2018-02-02 18:49:59
"172","Everything operating normally.","785764172","githubstatus","",2018-01-22 18:36:22
